data,ano,mes,nome_mes,eh_fds,usd_ptax,qtd,valor_liquido,valor_abs,usd_ret,usd_vol_7d
2010-02-27,2010,2,February,True,,2.00,116.01,474.59,,
2010-02-28,2010,2,February,True,,0.00,0.00,0.00,,
2010-03-01,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-02,2010,3,March,False,,3.00,273.78,402.50,,
2010-03-03,2010,3,March,False,,1.00,-166.56,166.56,,
2010-03-04,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-05,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-06,2010,3,March,True,,0.00,0.00,0.00,,
2010-03-07,2010,3,March,True,,0.00,0.00,0.00,,
2010-03-08,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-09,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-10,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-11,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-12,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-13,2010,3,March,True,,0.00,0.00,0.00,,
2010-03-14,2010,3,March,True,,0.00,0.00,0.00,,
2010-03-15,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-16,2010,3,March,False,,1.00,1479.00,1479.00,,
2010-03-17,2010,3,March,False,,2.00,-60.42,60.42,,
2010-03-18,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-19,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-20,2010,3,March,True,,1.00,41.16,41.16,,
2010-03-21,2010,3,March,True,,0.00,0.00,0.00,,
2010-03-22,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-23,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-24,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-25,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-26,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-27,2010,3,March,True,,0.00,0.00,0.00,,
2010-03-28,2010,3,March,True,,0.00,0.00,0.00,,
2010-03-29,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-30,2010,3,March,False,,0.00,0.00,0.00,,
2010-03-31,2010,3,March,False,,0.00,0.00,0.00,,
2010-04-01,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-02,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-03,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-04,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-05,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-06,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-07,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-08,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-09,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-10,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-11,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-12,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-13,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-14,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-15,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-16,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-17,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-18,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-19,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-20,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-21,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-22,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-23,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-24,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-25,2010,4,April,True,,0.00,0.00,0.00,,
2010-04-26,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-27,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-28,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-29,2010,4,April,False,,0.00,0.00,0.00,,
2010-04-30,2010,4,April,False,,0.00,0.00,0.00,,
2010-05-01,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-02,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-03,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-04,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-05,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-06,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-07,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-08,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-09,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-10,2010,5,May,False,,2.00,15.06,156.74,,
2010-05-11,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-12,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-13,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-14,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-15,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-16,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-17,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-18,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-19,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-20,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-21,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-22,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-23,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-24,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-25,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-26,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-27,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-28,2010,5,May,False,,0.00,0.00,0.00,,
2010-05-29,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-30,2010,5,May,True,,0.00,0.00,0.00,,
2010-05-31,2010,5,May,False,,0.00,0.00,0.00,,
2010-06-01,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-02,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-03,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-04,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-05,2010,6,June,True,,0.00,0.00,0.00,,
2010-06-06,2010,6,June,True,,0.00,0.00,0.00,,
2010-06-07,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-08,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-09,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-10,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-11,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-12,2010,6,June,True,,0.00,0.00,0.00,,
2010-06-13,2010,6,June,True,,0.00,0.00,0.00,,
2010-06-14,2010,6,June,False,,0.00,0.00,0.00,,
2010-06-15,2010,6,June,False,,3.00,9695.21,9747.01,,
2010-06-16,2010,6,June,False,,0.00,0.00,0.00,,
