data,qtd,valor_liquido,valor_abs
2010-02-27,2,116.01,474.59
2010-03-02,3,273.78,402.50
2010-03-03,1,-166.56,166.56
2010-03-16,1,1479.00,1479.00
2010-03-17,2,-60.42,60.42
2010-03-20,1,41.16,41.16
2010-05-10,2,15.06,156.74
2010-06-15,3,9695.21,9747.01
2010-06-23,2,-87.33,87.33
2010-06-27,1,262.00,262.00
2010-07-01,1,-25.39,25.39
2010-07-17,1,-12.18,12.18
2010-07-21,2,347.20,840.80
2010-07-28,2,-39.29,39.29
2010-08-11,3,175.30,339.30
2010-08-12,2,-44.90,44.90
2010-08-18,1,-85.00,85.00
2010-08-19,3,-34.72,34.72
2010-09-06,1,275.00,275.00
2010-09-07,1,64.37,64.37
2010-09-09,1,-291.89,291.89
2010-09-10,1,-53.35,53.35
2010-09-11,1,-21.83,21.83
2010-09-13,1,41.40,41.40
2010-09-15,1,-38.40,38.40
2010-09-20,3,-96.01,96.01
2010-09-22,1,-45.41,45.41
2010-09-28,3,-76.13,76.13
2010-09-29,2,-83.47,83.47
2010-09-30,4,17455.32,17554.68
2010-10-01,1,-5.25,5.25
2010-10-02,1,-76.60,76.60
2010-10-04,6,-191.27,663.51
2010-10-06,2,-5.61,30.67
2010-10-14,2,-86.49,86.49
2010-10-16,1,-17.10,17.10
2010-10-17,2,-68.97,68.97
2010-10-24,1,-33.59,33.59
2010-11-02,1,318.50,318.50
2010-11-19,1,-94.88,94.88
2010-12-04,2,-47.40,47.40
2010-12-07,2,204.46,432.74
2010-12-10,2,-134.96,134.96
2010-12-11,1,126.70,126.70
2010-12-17,6,-46.28,263.68
2010-12-18,1,-71.41,71.41
2010-12-20,1,-65.25,65.25
2010-12-23,1,-8.50,8.50
2010-12-24,2,-31.13,31.13
2010-12-25,2,-53.40,53.40
2010-12-26,1,54.38,54.38
2010-12-27,1,22.02,22.02
2011-01-01,3,-94.32,94.32
2011-01-04,5,14576.58,15253.42
2011-01-05,3,7.83,54.23
2011-01-07,2,-11.91,84.67
2011-01-11,1,48715.00,48715.00
2011-01-27,4,-37287.68,37322.32
2011-01-28,3,-588.03,588.03
2011-02-03,2,-151.63,231.43
2011-02-05,1,-21.82,21.82
2011-02-10,2,-100.12,100.12
2011-02-23,1,2407.00,2407.00
2011-02-26,1,-12.23,12.23
2011-02-27,1,-2.66,2.66
2011-03-02,1,726.00,726.00
2011-03-03,2,12.05,21.11
2011-03-07,1,-82.39,82.39
2011-03-08,4,191.70,753.86
2011-03-20,1,134.70,134.70
2011-03-21,4,-300.50,300.50
2011-03-22,4,-294.71,294.71
2011-03-26,4,-294.56,374.56
2011-04-07,2,3776.17,3789.83
2011-04-08,3,374.71,636.69
2011-04-09,2,-50.65,50.65
2011-04-13,1,-155.61,155.61
2011-04-25,1,1145.00,1145.00
2011-04-29,1,-26.84,26.84
2011-04-30,3,-128.23,128.23
2011-05-01,5,43.92,524.88
2011-05-02,1,229.58,229.58
2011-05-06,3,-713.95,713.95
2011-05-09,1,-14.04,14.04
2011-05-14,4,19057.44,19912.56
2011-05-19,3,897.92,964.48
2011-05-20,2,-85.01,85.01
2011-05-21,1,-24.18,24.18
2011-05-23,5,-427.21,451.41
2011-05-24,2,-70.86,70.86
2011-05-25,4,-630.85,630.85
2011-05-28,2,-55.63,55.63
2011-05-29,3,-63.69,110.57
2011-05-30,2,13.26,111.74
2011-06-01,3,-88.42,88.42
2011-06-04,2,614.21,691.59
2011-06-05,1,-5.23,5.23
2011-06-06,4,-37.48,199.34
2011-06-08,7,-110.02,302.42
2011-06-09,3,-52.68,122.54
2011-06-13,4,-114.10,114.10
2011-06-14,3,-73.17,73.17
2011-06-15,1,-16.44,16.44
2011-06-21,1,-39.08,39.08
2011-06-22,3,3702.67,3805.33
2011-06-23,1,-20.36,20.36
2011-06-24,4,-490.46,490.46
2011-06-28,2,102.23,102.23
2011-06-29,1,-45.77,45.77
2011-07-02,1,7622.00,7622.00
2011-07-04,1,-54.83,54.83
2011-07-06,3,-153.74,153.74
2011-07-07,2,-490.86,490.86
2011-07-08,3,14669.00,14669.00
2011-07-09,8,-790.15,790.15
2011-07-10,4,-121.13,121.13
2011-07-11,2,-28.47,28.47
2011-07-13,2,-227.99,227.99
2011-07-14,1,-16.46,16.46
2011-07-15,1,-22.58,22.58
2011-07-16,7,-261.45,346.29
2011-07-17,2,93.06,149.62
2011-07-18,1,-150.00,150.00
2011-07-24,3,74.38,122.68
2011-07-27,4,-32.22,51.72
2011-07-28,1,-16.64,16.64
2011-07-29,1,-120.29,120.29
2011-07-31,3,-123.39,123.39
2011-08-01,3,-274.45,274.45
2011-08-02,4,12076.65,15806.77
2011-08-03,1,-19.64,19.64
2011-08-07,1,-68.72,68.72
2011-08-10,3,137745.08,137796.02
2011-08-11,1,-358.21,358.21
2011-08-15,1,-37.10,37.10
2011-08-16,1,-49.47,49.47
2011-08-17,1,280.94,280.94
2011-08-19,1,-58.71,58.71
2011-08-20,5,-227.63,227.63
2011-08-22,2,-152.82,152.82
2011-08-23,2,-322.13,322.13
2011-08-24,4,-77.47,320.17
2011-08-25,3,51185.68,51384.32
2011-08-26,3,-63.82,233.42
2011-08-27,3,-352.39,352.39
2011-08-28,1,-9.22,9.22
2011-08-31,1,-31.61,31.61
2011-09-01,2,176.55,224.65
2011-09-02,1,-33.73,33.73
2011-09-03,5,-154.93,154.93
2011-09-09,1,-46.05,46.05
2011-09-11,2,52.27,96.13
2011-09-14,1,-5.62,5.62
2011-09-15,4,-32.10,114.84
2011-09-16,1,-36.08,36.08
2011-09-17,2,1.22,22.14
2011-09-18,1,-14.70,14.70
2011-09-19,1,-32.38,32.38
2011-09-20,2,61.05,235.55
2011-09-21,3,68.56,165.08
2011-09-23,1,55.56,55.56
2011-09-24,1,-64.41,64.41
2011-09-25,2,131.31,160.09
2011-09-26,1,-176.29,176.29
2011-09-28,6,2203.44,3764.56
2011-09-29,2,-10.32,29.38
2011-09-30,2,-6.74,58.10
2011-10-01,1,-28.90,28.90
2011-10-02,1,-42.45,42.45
2011-10-03,3,51.46,135.44
2011-10-05,1,-39.33,39.33
2011-10-06,2,-13.57,13.57
2011-10-08,2,152.43,157.89
2011-10-09,3,-81.14,81.14
2011-10-10,4,-2980.53,3064.39
2011-10-12,4,10.45,199.71
2011-10-13,3,-552.66,617.48
2011-10-14,1,-11.82,11.82
2011-10-15,2,-105.22,105.22
2011-10-16,2,-94.08,94.08
